@RELATION ecg
@ATTRIBUTE timestamp DATE "yyyy-MM-dd'T'HH:mm:ss.SSS"
@ATTRIBUTE value1 REAL
@ATTRIBUTE value2 REAL

@DATA
2010-01-01T10:02:00.000+01:00,-5.535,-5.695
2010-01-01T10:02:00.004+01:00,-5.55,-5.685
2010-01-01T10:02:00.008+01:00,-5.565,-5.675
2010-01-01T10:02:00.012+01:00,-5.575,-5.665
2010-01-01T10:02:00.016+01:00,-5.59,-5.65
2010-01-01T10:02:00.020+01:00,-5.61,-5.645
2010-01-01T10:02:00.024+01:00,-5.625,-5.635
2010-01-01T10:02:00.028+01:00,-5.64,-5.625
2010-01-01T10:02:00.032+01:00,-5.665,-5.62
2010-01-01T10:02:00.036+01:00,-5.69,-5.615
2010-01-01T10:02:00.040+01:00,-5.71,-5.62
2010-01-01T10:02:00.044+01:00,-5.73,-5.615
2010-01-01T10:02:00.048+01:00,-5.75,-5.615
2010-01-01T10:02:00.052+01:00,-5.76,-5.62
2010-01-01T10:02:00.056+01:00,-5.78,-5.63
2010-01-01T10:02:00.060+01:00,-5.795,-5.63
2010-01-01T10:02:00.064+01:00,-5.805,-5.635
2010-01-01T10:02:00.068+01:00,-5.82,-5.645
2010-01-01T10:02:00.072+01:00,-5.825,-5.645
2010-01-01T10:02:00.076+01:00,-5.84,-5.655
2010-01-01T10:02:00.080+01:00,-5.855,-5.665
2010-01-01T10:02:00.084+01:00,-5.865,-5.66
2010-01-01T10:02:00.088+01:00,-5.875,-5.665
2010-01-01T10:02:00.092+01:00,-5.88,-5.675
2010-01-01T10:02:00.096+01:00,-5.88,-5.68
2010-01-01T10:02:00.100+01:00,-5.88,-5.685
2010-01-01T10:02:00.104+01:00,-5.88,-5.685
2010-01-01T10:02:00.108+01:00,-5.88,-5.675
2010-01-01T10:02:00.112+01:00,-5.88,-5.665
2010-01-01T10:02:00.116+01:00,-5.885,-5.665
2010-01-01T10:02:00.120+01:00,-5.875,-5.66
2010-01-01T10:02:00.124+01:00,-5.86,-5.655
2010-01-01T10:02:00.128+01:00,-5.85,-5.65
2010-01-01T10:02:00.132+01:00,-5.855,-5.65
2010-01-01T10:02:00.136+01:00,-5.86,-5.645
2010-01-01T10:02:00.140+01:00,-5.855,-5.64
2010-01-01T10:02:00.144+01:00,-5.845,-5.63
2010-01-01T10:02:00.148+01:00,-5.84,-5.625
2010-01-01T10:02:00.152+01:00,-5.84,-5.625
2010-01-01T10:02:00.156+01:00,-5.835,-5.615
2010-01-01T10:02:00.160+01:00,-5.825,-5.61
2010-01-01T10:02:00.164+01:00,-5.81,-5.605
2010-01-01T10:02:00.168+01:00,-5.795,-5.6
2010-01-01T10:02:00.172+01:00,-5.785,-5.6
2010-01-01T10:02:00.176+01:00,-5.775,-5.6
2010-01-01T10:02:00.180+01:00,-5.77,-5.6
2010-01-01T10:02:00.184+01:00,-5.76,-5.595
2010-01-01T10:02:00.188+01:00,-5.76,-5.585
2010-01-01T10:02:00.192+01:00,-5.765,-5.575
2010-01-01T10:02:00.196+01:00,-5.76,-5.575
2010-01-01T10:02:00.200+01:00,-5.745,-5.58
2010-01-01T10:02:00.204+01:00,-5.74,-5.575
2010-01-01T10:02:00.208+01:00,-5.72,-5.575
2010-01-01T10:02:00.212+01:00,-5.715,-5.575
2010-01-01T10:02:00.216+01:00,-5.71,-5.57
2010-01-01T10:02:00.220+01:00,-5.72,-5.55
2010-01-01T10:02:00.224+01:00,-5.72,-5.525
2010-01-01T10:02:00.228+01:00,-5.72,-5.52
2010-01-01T10:02:00.232+01:00,-5.72,-5.52
2010-01-01T10:02:00.236+01:00,-5.725,-5.525
2010-01-01T10:02:00.240+01:00,-5.74,-5.525
2010-01-01T10:02:00.244+01:00,-5.76,-5.535
2010-01-01T10:02:00.248+01:00,-5.785,-5.545
2010-01-01T10:02:00.252+01:00,-5.8,-5.555
2010-01-01T10:02:00.256+01:00,-5.82,-5.57
2010-01-01T10:02:00.260+01:00,-5.84,-5.59
2010-01-01T10:02:00.264+01:00,-5.87,-5.6
2010-01-01T10:02:00.268+01:00,-5.875,-5.605
2010-01-01T10:02:00.272+01:00,-5.88,-5.615
2010-01-01T10:02:00.276+01:00,-5.885,-5.63
2010-01-01T10:02:00.280+01:00,-5.89,-5.645
2010-01-01T10:02:00.284+01:00,-5.89,-5.66
2010-01-01T10:02:00.288+01:00,-5.885,-5.665
2010-01-01T10:02:00.292+01:00,-5.895,-5.675
2010-01-01T10:02:00.296+01:00,-5.895,-5.68
2010-01-01T10:02:00.300+01:00,-5.885,-5.685
2010-01-01T10:02:00.304+01:00,-5.885,-5.685
2010-01-01T10:02:00.308+01:00,-5.885,-5.69
2010-01-01T10:02:00.312+01:00,-5.885,-5.7
2010-01-01T10:02:00.316+01:00,-5.885,-5.695
2010-01-01T10:02:00.320+01:00,-5.9,-5.705
2010-01-01T10:02:00.324+01:00,-5.92,-5.7
2010-01-01T10:02:00.328+01:00,-5.885,-5.705
2010-01-01T10:02:00.332+01:00,-5.785,-5.715
2010-01-01T10:02:00.336+01:00,-5.64,-5.735
2010-01-01T10:02:00.340+01:00,-5.47,-5.735
2010-01-01T10:02:00.344+01:00,-5.19,-5.695
2010-01-01T10:02:00.348+01:00,-4.805,-5.655
